Year,Units,Time series,Sex,Federal state,GeoCode,Value
1999,Percentage,,,,,33.35
2010,Percentage,,,,,41.31
2011,Percentage,,,,,42.22
2012,Percentage,,,,,43.43
2013,Percentage,,,,,44.48
2014,Percentage,,,,,45.67
2015,Percentage,,,,,46.77
2016,Percentage,,,,,47.88
2017,Percentage,,,,,48.84
2018,Percentage,,,,,49.83
2019,Percentage,,,,,50.49
2020,Percentage,,,,,52.3
2021,Percentage,,,,,53.238
2000,Percentage,,,,,33.0
2001,Percentage,,,,,33.17
2002,Percentage,,,,,33.28
2003,Percentage,,,,,33.89
2004,Percentage,,,,,36.22
2005,Percentage,,,,,35.99
2006,Percentage,,,,,36.5
2007,Percentage,,,,,37.63
2008,Percentage,,,,,38.77
2009,Percentage,,,,,40.71
2030,Percentage,,,,,
1999,Percentage,,Female,,,31.39
2010,Percentage,,Female,,,42.68
2011,Percentage,,Female,,,44.42
2012,Percentage,,Female,,,46.04
2013,Percentage,,Female,,,46.8
2014,Percentage,,Female,,,48.42
2015,Percentage,,Female,,,50.52
2016,Percentage,,Female,,,51.3
2017,Percentage,,Female,,,52.64
2018,Percentage,,Female,,,53.83
2019,Percentage,,Female,,,54.41
2020,Percentage,,Female,,,56.63
2021,Percentage,,Female,,,57.158
2000,Percentage,,Female,,,30.88
2001,Percentage,,Female,,,31.09
2002,Percentage,,Female,,,31.25
2003,Percentage,,Female,,,32.19
2004,Percentage,,Female,,,34.65
2005,Percentage,,Female,,,35.0
2006,Percentage,,Female,,,36.48
2007,Percentage,,Female,,,38.03
2008,Percentage,,Female,,,39.68
2009,Percentage,,Female,,,42.21
2030,Percentage,,,,,
1999,Percentage,,Male,,,35.22
2010,Percentage,,Male,,,39.97
2011,Percentage,,Male,,,40.07
2012,Percentage,,Male,,,40.88
2013,Percentage,,Male,,,42.2
2014,Percentage,,Male,,,42.94
2015,Percentage,,Male,,,43.11
2016,Percentage,,Male,,,44.57
2017,Percentage,,Male,,,45.19
2018,Percentage,,Male,,,46.02
2019,Percentage,,Male,,,46.76
2020,Percentage,,Male,,,48.26
2021,Percentage,,Male,,,49.553
2000,Percentage,,Male,,,35.05
2001,Percentage,,Male,,,35.2
2002,Percentage,,Male,,,35.22
2003,Percentage,,Male,,,35.49
2004,Percentage,,Male,,,37.72
2005,Percentage,,Male,,,36.95
2006,Percentage,,Male,,,36.52
2007,Percentage,,Male,,,37.25
2008,Percentage,,Male,,,37.86
2009,Percentage,,Male,,,39.23
2030,Percentage,,,,,
2010,Percentage,,,Baden-Wuerttemberg,code08,42.28
2011,Percentage,,,Baden-Wuerttemberg,code08,43.36
2012,Percentage,,,Baden-Wuerttemberg,code08,44.92
2013,Percentage,,,Baden-Wuerttemberg,code08,47.29
2014,Percentage,,,Baden-Wuerttemberg,code08,47.35
2015,Percentage,,,Baden-Wuerttemberg,code08,48.37
2016,Percentage,,,Baden-Wuerttemberg,code08,50.18
2017,Percentage,,,Baden-Wuerttemberg,code08,50.69
2018,Percentage,,,Baden-Wuerttemberg,code08,51.4
2019,Percentage,,,Baden-Wuerttemberg,code08,53.92
2020,Percentage,,,Baden-Wuerttemberg,code08,54.11
2021,Percentage,,,Baden-Wuerttemberg,code08,54.502
2005,Percentage,,,Baden-Wuerttemberg,code08,36.88
2006,Percentage,,,Baden-Wuerttemberg,code08,36.9
2007,Percentage,,,Baden-Wuerttemberg,code08,37.6
2008,Percentage,,,Baden-Wuerttemberg,code08,37.8
2009,Percentage,,,Baden-Wuerttemberg,code08,41.9
2030,Percentage,,,,,
2010,Percentage,,Female,Baden-Wuerttemberg,code08,40.7
2011,Percentage,,Female,Baden-Wuerttemberg,code08,41.9
2012,Percentage,,Female,Baden-Wuerttemberg,code08,44.4
2013,Percentage,,Female,Baden-Wuerttemberg,code08,46.1
2014,Percentage,,Female,Baden-Wuerttemberg,code08,48.1
2015,Percentage,,Female,Baden-Wuerttemberg,code08,49.6
2016,Percentage,,Female,Baden-Wuerttemberg,code08,50.9
2017,Percentage,,Female,Baden-Wuerttemberg,code08,51.5
2018,Percentage,,Female,Baden-Wuerttemberg,code08,52.28
2019,Percentage,,Female,Baden-Wuerttemberg,code08,56.61
2020,Percentage,,Female,Baden-Wuerttemberg,code08,56.92
2021,Percentage,,Female,Baden-Wuerttemberg,code08,57.686
2005,Percentage,,Female,Baden-Wuerttemberg,code08,33.1
2006,Percentage,,Female,Baden-Wuerttemberg,code08,34.2
2007,Percentage,,Female,Baden-Wuerttemberg,code08,35.7
2008,Percentage,,Female,Baden-Wuerttemberg,code08,36.0
2009,Percentage,,Female,Baden-Wuerttemberg,code08,41.0
2030,Percentage,,,,,
2010,Percentage,,Male,Baden-Wuerttemberg,code08,43.9
2011,Percentage,,Male,Baden-Wuerttemberg,code08,44.9
2012,Percentage,,Male,Baden-Wuerttemberg,code08,45.4
2013,Percentage,,Male,Baden-Wuerttemberg,code08,48.4
2014,Percentage,,Male,Baden-Wuerttemberg,code08,46.6
2015,Percentage,,Male,Baden-Wuerttemberg,code08,47.2
2016,Percentage,,Male,Baden-Wuerttemberg,code08,49.5
2017,Percentage,,Male,Baden-Wuerttemberg,code08,49.9
2018,Percentage,,Male,Baden-Wuerttemberg,code08,50.58
2019,Percentage,,Male,Baden-Wuerttemberg,code08,51.45
2020,Percentage,,Male,Baden-Wuerttemberg,code08,51.57
2021,Percentage,,Male,Baden-Wuerttemberg,code08,51.626
2005,Percentage,,Male,Baden-Wuerttemberg,code08,40.5
2006,Percentage,,Male,Baden-Wuerttemberg,code08,39.4
2007,Percentage,,Male,Baden-Wuerttemberg,code08,39.5
2008,Percentage,,Male,Baden-Wuerttemberg,code08,39.7
2009,Percentage,,Male,Baden-Wuerttemberg,code08,42.8
2030,Percentage,,,,,
2010,Percentage,,,Bavaria,code09,40.39
2011,Percentage,,,Bavaria,code09,41.1
2012,Percentage,,,Bavaria,code09,43.58
2013,Percentage,,,Bavaria,code09,45.31
2014,Percentage,,,Bavaria,code09,45.82
2015,Percentage,,,Bavaria,code09,45.68
2016,Percentage,,,Bavaria,code09,48.01
2017,Percentage,,,Bavaria,code09,48.76
2018,Percentage,,,Bavaria,code09,50.03
2019,Percentage,,,Bavaria,code09,49.55
2020,Percentage,,,Bavaria,code09,51.07
2021,Percentage,,,Bavaria,code09,53.298
2005,Percentage,,,Bavaria,code09,35.15
2006,Percentage,,,Bavaria,code09,34.7
2007,Percentage,,,Bavaria,code09,35.8
2008,Percentage,,,Bavaria,code09,37.5
2009,Percentage,,,Bavaria,code09,39.4
2030,Percentage,,,,,
2010,Percentage,,Female,Bavaria,code09,40.2
2011,Percentage,,Female,Bavaria,code09,41.6
2012,Percentage,,Female,Bavaria,code09,44.8
2013,Percentage,,Female,Bavaria,code09,45.3
2014,Percentage,,Female,Bavaria,code09,46.1
2015,Percentage,,Female,Bavaria,code09,47.4
2016,Percentage,,Female,Bavaria,code09,49.5
2017,Percentage,,Female,Bavaria,code09,50.8
2018,Percentage,,Female,Bavaria,code09,52.18
2019,Percentage,,Female,Bavaria,code09,50.82
2020,Percentage,,Female,Bavaria,code09,52.57
2021,Percentage,,Female,Bavaria,code09,55.495
2005,Percentage,,Female,Bavaria,code09,32.9
2006,Percentage,,Female,Bavaria,code09,33.1
2007,Percentage,,Female,Bavaria,code09,34.8
2008,Percentage,,Female,Bavaria,code09,36.8
2009,Percentage,,Female,Bavaria,code09,38.5
2030,Percentage,,,,,
2010,Percentage,,Male,Bavaria,code09,40.6
2011,Percentage,,Male,Bavaria,code09,40.7
2012,Percentage,,Male,Bavaria,code09,42.4
2013,Percentage,,Male,Bavaria,code09,45.3
2014,Percentage,,Male,Bavaria,code09,45.5
2015,Percentage,,Male,Bavaria,code09,43.9
2016,Percentage,,Male,Bavaria,code09,46.6
2017,Percentage,,Male,Bavaria,code09,46.9
2018,Percentage,,Male,Bavaria,code09,48.05
2019,Percentage,,Male,Bavaria,code09,48.34
2020,Percentage,,Male,Bavaria,code09,49.67
2021,Percentage,,Male,Bavaria,code09,51.287
2005,Percentage,,Male,Bavaria,code09,37.4
2006,Percentage,,Male,Bavaria,code09,36.2
2007,Percentage,,Male,Bavaria,code09,36.9
2008,Percentage,,Male,Bavaria,code09,38.3
2009,Percentage,,Male,Bavaria,code09,40.3
2030,Percentage,,,,,
2010,Percentage,,,Berlin,code11,50.74
2011,Percentage,,,Berlin,code11,51.84
2012,Percentage,,,Berlin,code11,53.7
2013,Percentage,,,Berlin,code11,53.23
2014,Percentage,,,Berlin,code11,53.96
2015,Percentage,,,Berlin,code11,56.68
2016,Percentage,,,Berlin,code11,59.72
2017,Percentage,,,Berlin,code11,60.9
2018,Percentage,,,Berlin,code11,62.66
2019,Percentage,,,Berlin,code11,64.8
2020,Percentage,,,Berlin,code11,65.59
2021,Percentage,,,Berlin,code11,68.579
2005,Percentage,,,Berlin,code11,46.17
2006,Percentage,,,Berlin,code11,46.6
2007,Percentage,,,Berlin,code11,49.2
2008,Percentage,,,Berlin,code11,47.1
2009,Percentage,,,Berlin,code11,50.4
2030,Percentage,,,,,
2010,Percentage,,Female,Berlin,code11,56.0
2011,Percentage,,Female,Berlin,code11,59.3
2012,Percentage,,Female,Berlin,code11,60.2
2013,Percentage,,Female,Berlin,code11,59.1
2014,Percentage,,Female,Berlin,code11,59.8
2015,Percentage,,Female,Berlin,code11,63.7
2016,Percentage,,Female,Berlin,code11,63.6
2017,Percentage,,Female,Berlin,code11,66.1
2018,Percentage,,Female,Berlin,code11,66.99
2019,Percentage,,Female,Berlin,code11,69.18
2020,Percentage,,Female,Berlin,code11,69.73
2021,Percentage,,Female,Berlin,code11,71.923
2005,Percentage,,Female,Berlin,code11,47.1
2006,Percentage,,Female,Berlin,code11,50.1
2007,Percentage,,Female,Berlin,code11,53.0
2008,Percentage,,Female,Berlin,code11,49.9
2009,Percentage,,Female,Berlin,code11,56.2
2030,Percentage,,,,,
2010,Percentage,,Male,Berlin,code11,45.8
2011,Percentage,,Male,Berlin,code11,44.7
2012,Percentage,,Male,Berlin,code11,47.5
2013,Percentage,,Male,Berlin,code11,47.6
2014,Percentage,,Male,Berlin,code11,48.4
2015,Percentage,,Male,Berlin,code11,49.7
2016,Percentage,,Male,Berlin,code11,55.7
2017,Percentage,,Male,Berlin,code11,55.7
2018,Percentage,,Male,Berlin,code11,58.27
2019,Percentage,,Male,Berlin,code11,60.32
2020,Percentage,,Male,Berlin,code11,61.81
2021,Percentage,,Male,Berlin,code11,65.212
2005,Percentage,,Male,Berlin,code11,45.3
2006,Percentage,,Male,Berlin,code11,43.2
2007,Percentage,,Male,Berlin,code11,45.5
2008,Percentage,,Male,Berlin,code11,44.5
2009,Percentage,,Male,Berlin,code11,44.4
2030,Percentage,,,,,
2010,Percentage,,,Brandenburg,code12,41.4
2011,Percentage,,,Brandenburg,code12,44.47
2012,Percentage,,,Brandenburg,code12,42.08
2013,Percentage,,,Brandenburg,code12,42.57
2014,Percentage,,,Brandenburg,code12,44.17
2015,Percentage,,,Brandenburg,code12,43.26
2016,Percentage,,,Brandenburg,code12,45.41
2017,Percentage,,,Brandenburg,code12,42.42
2018,Percentage,,,Brandenburg,code12,45.28
2019,Percentage,,,Brandenburg,code12,44.44
2020,Percentage,,,Brandenburg,code12,50.15
2021,Percentage,,,Brandenburg,code12,54.907
2005,Percentage,,,Brandenburg,code12,32.11
2006,Percentage,,,Brandenburg,code12,33.2
2007,Percentage,,,Brandenburg,code12,34.7
2008,Percentage,,,Brandenburg,code12,38.6
2009,Percentage,,,Brandenburg,code12,41.1
2030,Percentage,,,,,
2010,Percentage,,Female,Brandenburg,code12,50.2
2011,Percentage,,Female,Brandenburg,code12,53.6
2012,Percentage,,Female,Brandenburg,code12,51.6
2013,Percentage,,Female,Brandenburg,code12,49.0
2014,Percentage,,Female,Brandenburg,code12,50.5
2015,Percentage,,Female,Brandenburg,code12,53.2
2016,Percentage,,Female,Brandenburg,code12,54.2
2017,Percentage,,Female,Brandenburg,code12,48.4
2018,Percentage,,Female,Brandenburg,code12,53.54
2019,Percentage,,Female,Brandenburg,code12,52.09
2020,Percentage,,Female,Brandenburg,code12,57.13
2021,Percentage,,Female,Brandenburg,code12,60.912
2005,Percentage,,Female,Brandenburg,code12,36.9
2006,Percentage,,Female,Brandenburg,code12,39.5
2007,Percentage,,Female,Brandenburg,code12,42.2
2008,Percentage,,Female,Brandenburg,code12,47.1
2009,Percentage,,Female,Brandenburg,code12,47.8
2030,Percentage,,,,,
2010,Percentage,,Male,Brandenburg,code12,33.4
2011,Percentage,,Male,Brandenburg,code12,35.8
2012,Percentage,,Male,Brandenburg,code12,33.9
2013,Percentage,,Male,Brandenburg,code12,36.5
2014,Percentage,,Male,Brandenburg,code12,37.6
2015,Percentage,,Male,Brandenburg,code12,34.1
2016,Percentage,,Male,Brandenburg,code12,36.9
2017,Percentage,,Male,Brandenburg,code12,36.8
2018,Percentage,,Male,Brandenburg,code12,36.84
2019,Percentage,,Male,Brandenburg,code12,36.72
2020,Percentage,,Male,Brandenburg,code12,43.02
2021,Percentage,,Male,Brandenburg,code12,48.731
2005,Percentage,,Male,Brandenburg,code12,27.5
2006,Percentage,,Male,Brandenburg,code12,27.5
2007,Percentage,,Male,Brandenburg,code12,27.3
2008,Percentage,,Male,Brandenburg,code12,30.4
