Year,Units,time series,COMMENT_OBS_0,länder,GeoCode,Value
2012,minutes,for the medium-sized and major cities of the year in question,,,,23.49
2016,minutes,for the medium-sized and major cities of the year in question,,,,22.41
2018,minutes,for the medium-sized and major cities of the year in question,,,,21.86
2020,minutes,for the medium-sized and major cities of the year in question,,,,20.5
2024,minutes,for the medium-sized and major cities of the year in question,|,,,17.7
2013,minutes,for the medium-sized and major cities of the year in question,.,,,
2014,minutes,for the medium-sized and major cities of the year in question,.,,,
2015,minutes,for the medium-sized and major cities of the year in question,.,,,
2017,minutes,for the medium-sized and major cities of the year in question,.,,,
2019,minutes,for the medium-sized and major cities of the year in question,.,,,
2021,minutes,for the medium-sized and major cities of the year in question,.,,,
2022,minutes,for the medium-sized and major cities of the year in question,.,,,
2023,minutes,for the medium-sized and major cities of the year in question,.,,,
2012,minutes,for the medium-sized and major cities of 2012,,,,23.5
2016,minutes,for the medium-sized and major cities of 2012,,,,22.75
2018,minutes,for the medium-sized and major cities of 2012,,,,22.5
2020,minutes,for the medium-sized and major cities of 2012,,,,21.3
2024,minutes,for the medium-sized and major cities of 2012,…,,,
2013,minutes,for the medium-sized and major cities of 2012,.,,,
2014,minutes,for the medium-sized and major cities of 2012,.,,,
2015,minutes,for the medium-sized and major cities of 2012,.,,,
2017,minutes,for the medium-sized and major cities of 2012,.,,,
2019,minutes,for the medium-sized and major cities of 2012,.,,,
2021,minutes,for the medium-sized and major cities of 2012,…,,,
2022,minutes,for the medium-sized and major cities of 2012,…,,,
2023,minutes,for the medium-sized and major cities of 2012,…,,,
2012,minutes,for the medium-sized and major cities of the year in question,,baden-wuerttemberg,code08,22.802
2016,minutes,for the medium-sized and major cities of the year in question,,baden-wuerttemberg,code08,21.848
2018,minutes,for the medium-sized and major cities of the year in question,,baden-wuerttemberg,code08,21.611
2020,minutes,for the medium-sized and major cities of the year in question,,baden-wuerttemberg,code08,20.466
2024,minutes,for the medium-sized and major cities of the year in question,|,baden-wuerttemberg,code08,19.5
2013,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2014,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2015,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2017,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2019,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2021,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2022,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2023,minutes,for the medium-sized and major cities of the year in question,.,baden-wuerttemberg,code08,
2012,minutes,for the medium-sized and major cities of the year in question,,bavaria,code09,23.67
2016,minutes,for the medium-sized and major cities of the year in question,,bavaria,code09,22.417
2018,minutes,for the medium-sized and major cities of the year in question,,bavaria,code09,20.859
2020,minutes,for the medium-sized and major cities of the year in question,,bavaria,code09,19.239
2024,minutes,for the medium-sized and major cities of the year in question,|,bavaria,code09,17.5
2013,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2014,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2015,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2017,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2019,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2021,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2022,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2023,minutes,for the medium-sized and major cities of the year in question,.,bavaria,code09,
2012,minutes,for the medium-sized and major cities of the year in question,,berlin,code11,27.187
2016,minutes,for the medium-sized and major cities of the year in question,,berlin,code11,24.865
2018,minutes,for the medium-sized and major cities of the year in question,,berlin,code11,24.405
2020,minutes,for the medium-sized and major cities of the year in question,,berlin,code11,23.394
2024,minutes,for the medium-sized and major cities of the year in question,|,berlin,code11,10.5
2013,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2014,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2015,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2017,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2019,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2021,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2022,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2023,minutes,for the medium-sized and major cities of the year in question,.,berlin,code11,
2012,minutes,for the medium-sized and major cities of the year in question,,brandenburg,code12,24.586
2016,minutes,for the medium-sized and major cities of the year in question,,brandenburg,code12,22.271
2018,minutes,for the medium-sized and major cities of the year in question,,brandenburg,code12,21.481
2020,minutes,for the medium-sized and major cities of the year in question,,brandenburg,code12,19.253
2024,minutes,for the medium-sized and major cities of the year in question,|,brandenburg,code12,20.2
2013,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2014,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2015,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2017,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2019,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2021,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2022,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2023,minutes,for the medium-sized and major cities of the year in question,.,brandenburg,code12,
2012,minutes,for the medium-sized and major cities of the year in question,,bremen,code04,24.539
2016,minutes,for the medium-sized and major cities of the year in question,,bremen,code04,22.521
2018,minutes,for the medium-sized and major cities of the year in question,,bremen,code04,21.834
2020,minutes,for the medium-sized and major cities of the year in question,,bremen,code04,20.648
2024,minutes,for the medium-sized and major cities of the year in question,|,bremen,code04,18.2
2013,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2014,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2015,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2017,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2019,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2021,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2022,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2023,minutes,for the medium-sized and major cities of the year in question,.,bremen,code04,
2012,minutes,for the medium-sized and major cities of the year in question,,hamburg,code02,23.546
2016,minutes,for the medium-sized and major cities of the year in question,,hamburg,code02,25.806
2018,minutes,for the medium-sized and major cities of the year in question,,hamburg,code02,25.871
2020,minutes,for the medium-sized and major cities of the year in question,,hamburg,code02,25.913
2024,minutes,for the medium-sized and major cities of the year in question,|,hamburg,code02,11.4
2013,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2014,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2015,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2017,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2019,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2021,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2022,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2023,minutes,for the medium-sized and major cities of the year in question,.,hamburg,code02,
2012,minutes,for the medium-sized and major cities of the year in question,,hesse,code06,20.201
2016,minutes,for the medium-sized and major cities of the year in question,,hesse,code06,19.264
2018,minutes,for the medium-sized and major cities of the year in question,,hesse,code06,18.931
2020,minutes,for the medium-sized and major cities of the year in question,,hesse,code06,17.534
2024,minutes,for the medium-sized and major cities of the year in question,|,hesse,code06,15.2
2013,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2014,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2015,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2017,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2019,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2021,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2022,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2023,minutes,for the medium-sized and major cities of the year in question,.,hesse,code06,
2012,minutes,for the medium-sized and major cities of the year in question,,mecklenburg western pomerania,code13,32.314
2016,minutes,for the medium-sized and major cities of the year in question,,mecklenburg western pomerania,code13,30.667
2018,minutes,for the medium-sized and major cities of the year in question,,mecklenburg western pomerania,code13,30.601
