Year,Units,Series,COMMENT_OBS_0,Bundesland,GeoCode,Value
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,23.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,23.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,23.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,23.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,22.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,22.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,23.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,22.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,22.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,,,22.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,,,21.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,,,20.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,,,20.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,,,19.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,18.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,18.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,18.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,18.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,16.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,,,16.0
2006,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,8.0
2007,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2008,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2009,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2010,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,7.0
2011,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2012,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2013,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2014,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,6.0
2015,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2016,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2017,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2018,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,6.0
2019,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2020,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2021,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,.,,,
2022,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,7.0
2023,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,6.0
2024,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap,,,,6.0
