Year,Units,COMMENT_OBS_0,Bundesland,GeoCode,Value
2006,Prozent,,,,4.18
2009,Prozent,,,,4.23
2012,Prozent,,,,4.29
2015,Prozent,,,,4.31
2018,Prozent,,,,5.19
2007,Prozent,.,,,
2008,Prozent,.,,,
2010,Prozent,.,,,
2011,Prozent,.,,,
2013,Prozent,.,,,
2014,Prozent,.,,,
2016,Prozent,.,,,
2017,Prozent,.,,,
2006,Prozent,,Baden-Württemberg,code08,4.868
2009,Prozent,,Baden-Württemberg,code08,4.931
2012,Prozent,,Baden-Württemberg,code08,5.001
2015,Prozent,,Baden-Württemberg,code08,5.022
2018,Prozent,,Baden-Württemberg,code08,6.153
2007,Prozent,.,Baden-Württemberg,code08,
2008,Prozent,.,Baden-Württemberg,code08,
2010,Prozent,.,Baden-Württemberg,code08,
2011,Prozent,.,Baden-Württemberg,code08,
2013,Prozent,.,Baden-Württemberg,code08,
2014,Prozent,.,Baden-Württemberg,code08,
2016,Prozent,.,Baden-Württemberg,code08,
2017,Prozent,.,Baden-Württemberg,code08,
2006,Prozent,,Bayern,code09,3.431
2009,Prozent,,Bayern,code09,3.473
2012,Prozent,,Bayern,code09,3.52
2015,Prozent,,Bayern,code09,3.543
2018,Prozent,,Bayern,code09,4.456
2007,Prozent,.,Bayern,code09,
2008,Prozent,.,Bayern,code09,
2010,Prozent,.,Bayern,code09,
2011,Prozent,.,Bayern,code09,
2013,Prozent,.,Bayern,code09,
2014,Prozent,.,Bayern,code09,
2016,Prozent,.,Bayern,code09,
2017,Prozent,.,Bayern,code09,
2006,Prozent,,Berlin,code11,32.348
2009,Prozent,,Berlin,code11,32.538
2012,Prozent,,Berlin,code11,32.722
2015,Prozent,,Berlin,code11,32.814
2018,Prozent,,Berlin,code11,32.608
2007,Prozent,.,Berlin,code11,
2008,Prozent,.,Berlin,code11,
2010,Prozent,.,Berlin,code11,
2011,Prozent,.,Berlin,code11,
2013,Prozent,.,Berlin,code11,
2014,Prozent,.,Berlin,code11,
2016,Prozent,.,Berlin,code11,
2017,Prozent,.,Berlin,code11,
2006,Prozent,,Brandenburg,code12,2.537
2009,Prozent,,Brandenburg,code12,2.579
2012,Prozent,,Brandenburg,code12,2.645
2015,Prozent,,Brandenburg,code12,2.686
2018,Prozent,,Brandenburg,code12,3.124
2007,Prozent,.,Brandenburg,code12,
2008,Prozent,.,Brandenburg,code12,
2010,Prozent,.,Brandenburg,code12,
2011,Prozent,.,Brandenburg,code12,
2013,Prozent,.,Brandenburg,code12,
2014,Prozent,.,Brandenburg,code12,
2016,Prozent,.,Brandenburg,code12,
2017,Prozent,.,Brandenburg,code12,
2006,Prozent,,Bremen,code04,26.538
2009,Prozent,,Bremen,code04,26.95
2012,Prozent,,Bremen,code04,27.143
2015,Prozent,,Bremen,code04,27.192
2018,Prozent,,Bremen,code04,28.268
2007,Prozent,.,Bremen,code04,
2008,Prozent,.,Bremen,code04,
2010,Prozent,.,Bremen,code04,
2011,Prozent,.,Bremen,code04,
2013,Prozent,.,Bremen,code04,
2014,Prozent,.,Bremen,code04,
2016,Prozent,.,Bremen,code04,
2017,Prozent,.,Bremen,code04,
2006,Prozent,,Hamburg,code02,26.03
2009,Prozent,,Hamburg,code02,26.307
2012,Prozent,,Hamburg,code02,26.577
2015,Prozent,,Hamburg,code02,26.661
2018,Prozent,,Hamburg,code02,27.836
2007,Prozent,.,Hamburg,code02,
2008,Prozent,.,Hamburg,code02,
2010,Prozent,.,Hamburg,code02,
2011,Prozent,.,Hamburg,code02,
2013,Prozent,.,Hamburg,code02,
2014,Prozent,.,Hamburg,code02,
2016,Prozent,.,Hamburg,code02,
2017,Prozent,.,Hamburg,code02,
2006,Prozent,,Hessen,code06,4.785
2009,Prozent,,Hessen,code06,4.853
2012,Prozent,,Hessen,code06,4.913
2015,Prozent,,Hessen,code06,4.933
2018,Prozent,,Hessen,code06,5.827
2007,Prozent,.,Hessen,code06,
2008,Prozent,.,Hessen,code06,
2010,Prozent,.,Hessen,code06,
2011,Prozent,.,Hessen,code06,
2013,Prozent,.,Hessen,code06,
2014,Prozent,.,Hessen,code06,
2016,Prozent,.,Hessen,code06,
2017,Prozent,.,Hessen,code06,
2006,Prozent,,Mecklenburg-Vorpommern,code13,1.903
2009,Prozent,,Mecklenburg-Vorpommern,code13,1.932
2012,Prozent,,Mecklenburg-Vorpommern,code13,1.982
2015,Prozent,,Mecklenburg-Vorpommern,code13,1.998
2018,Prozent,,Mecklenburg-Vorpommern,code13,2.296
2007,Prozent,.,Mecklenburg-Vorpommern,code13,
2008,Prozent,.,Mecklenburg-Vorpommern,code13,
2010,Prozent,.,Mecklenburg-Vorpommern,code13,
2011,Prozent,.,Mecklenburg-Vorpommern,code13,
2013,Prozent,.,Mecklenburg-Vorpommern,code13,
2014,Prozent,.,Mecklenburg-Vorpommern,code13,
2016,Prozent,.,Mecklenburg-Vorpommern,code13,
2017,Prozent,.,Mecklenburg-Vorpommern,code13,
2006,Prozent,,Niedersachsen,code03,3.612
2009,Prozent,,Niedersachsen,code03,3.668
2012,Prozent,,Niedersachsen,code03,3.73
2015,Prozent,,Niedersachsen,code03,3.765
2018,Prozent,,Niedersachsen,code03,4.648
2007,Prozent,.,Niedersachsen,code03,
2008,Prozent,.,Niedersachsen,code03,
2010,Prozent,.,Niedersachsen,code03,
2011,Prozent,.,Niedersachsen,code03,
2013,Prozent,.,Niedersachsen,code03,
2014,Prozent,.,Niedersachsen,code03,
2016,Prozent,.,Niedersachsen,code03,
2017,Prozent,.,Niedersachsen,code03,
2006,Prozent,,Nordrhein-Westfalen,code05,7.977
2009,Prozent,,Nordrhein-Westfalen,code05,8.067
2012,Prozent,,Nordrhein-Westfalen,code05,8.122
2015,Prozent,,Nordrhein-Westfalen,code05,8.158
2018,Prozent,,Nordrhein-Westfalen,code05,9.725
2007,Prozent,.,Nordrhein-Westfalen,code05,
2008,Prozent,.,Nordrhein-Westfalen,code05,
2010,Prozent,.,Nordrhein-Westfalen,code05,
2011,Prozent,.,Nordrhein-Westfalen,code05,
2013,Prozent,.,Nordrhein-Westfalen,code05,
2014,Prozent,.,Nordrhein-Westfalen,code05,
2016,Prozent,.,Nordrhein-Westfalen,code05,
2017,Prozent,.,Nordrhein-Westfalen,code05,
2006,Prozent,,Rheinland-Pfalz,code07,3.948
2009,Prozent,,Rheinland-Pfalz,code07,4.026
2012,Prozent,,Rheinland-Pfalz,code07,4.09
2015,Prozent,,Rheinland-Pfalz,code07,4.121
2018,Prozent,,Rheinland-Pfalz,code07,5.048
2007,Prozent,.,Rheinland-Pfalz,code07,
2008,Prozent,.,Rheinland-Pfalz,code07,
2010,Prozent,.,Rheinland-Pfalz,code07,
2011,Prozent,.,Rheinland-Pfalz,code07,
2013,Prozent,.,Rheinland-Pfalz,code07,
2014,Prozent,.,Rheinland-Pfalz,code07,
2016,Prozent,.,Rheinland-Pfalz,code07,
2017,Prozent,.,Rheinland-Pfalz,code07,
2006,Prozent,,Saarland,code10,6.517
2009,Prozent,,Saarland,code10,6.769
2012,Prozent,,Saarland,code10,6.847
2015,Prozent,,Saarland,code10,6.892
2018,Prozent,,Saarland,code10,8.933
2007,Prozent,.,Saarland,code10,
2008,Prozent,.,Saarland,code10,
2010,Prozent,.,Saarland,code10,
2011,Prozent,.,Saarland,code10,
2013,Prozent,.,Saarland,code10,
2014,Prozent,.,Saarland,code10,
2016,Prozent,.,Saarland,code10,
2017,Prozent,.,Saarland,code10,
2006,Prozent,,Sachsen,code14,4.731
2009,Prozent,,Sachsen,code14,4.758
2012,Prozent,,Sachsen,code14,4.801
2015,Prozent,,Sachsen,code14,4.832
2018,Prozent,,Sachsen,code14,5.386
2007,Prozent,.,Sachsen,code14,
2008,Prozent,.,Sachsen,code14,
2010,Prozent,.,Sachsen,code14,
2011,Prozent,.,Sachsen,code14,
2013,Prozent,.,Sachsen,code14,
2014,Prozent,.,Sachsen,code14,
2016,Prozent,.,Sachsen,code14,
2017,Prozent,.,Sachsen,code14,
2006,Prozent,,Sachsen-Anhalt,code15,3.265
2009,Prozent,,Sachsen-Anhalt,code15,3.286
2012,Prozent,,Sachsen-Anhalt,code15,3.322
2015,Prozent,,Sachsen-Anhalt,code15,3.342
2018,Prozent,,Sachsen-Anhalt,code15,3.816
2007,Prozent,.,Sachsen-Anhalt,code15,
2008,Prozent,.,Sachsen-Anhalt,code15,
2010,Prozent,.,Sachsen-Anhalt,code15,
2011,Prozent,.,Sachsen-Anhalt,code15,
2013,Prozent,.,Sachsen-Anhalt,code15,
2014,Prozent,.,Sachsen-Anhalt,code15,
2016,Prozent,.,Sachsen-Anhalt,code15,
2017,Prozent,.,Sachsen-Anhalt,code15,
2006,Prozent,,Schleswig-Holstein,code01,3.563
2009,Prozent,,Schleswig-Holstein,code01,3.597
2012,Prozent,,Schleswig-Holstein,code01,3.716
2015,Prozent,,Schleswig-Holstein,code01,3.749
2018,Prozent,,Schleswig-Holstein,code01,4.522
2007,Prozent,.,Schleswig-Holstein,code01,
2008,Prozent,.,Schleswig-Holstein,code01,
2010,Prozent,.,Schleswig-Holstein,code01,
2011,Prozent,.,Schleswig-Holstein,code01,
2013,Prozent,.,Schleswig-Holstein,code01,
2014,Prozent,.,Schleswig-Holstein,code01,
2016,Prozent,.,Schleswig-Holstein,code01,
2017,Prozent,.,Schleswig-Holstein,code01,
2006,Prozent,,Thüringen,code16,3.146
2009,Prozent,,Thüringen,code16,3.167
2012,Prozent,,Thüringen,code16,3.213
2015,Prozent,,Thüringen,code16,3.239
2018,Prozent,,Thüringen,code16,3.709
2007,Prozent,.,Thüringen,code16,
2008,Prozent,.,Thüringen,code16,
2010,Prozent,.,Thüringen,code16,
2011,Prozent,.,Thüringen,code16,
2013,Prozent,.,Thüringen,code16,
2014,Prozent,.,Thüringen,code16,
2016,Prozent,.,Thüringen,code16,
2017,Prozent,.,Thüringen,code16,
