Year,Units,Federal state,GeoCode,Value
2005,1990 = 100,Berlin,code11,72.388
2006,1990 = 100,Berlin,code11,71.837
2007,1990 = 100,Berlin,code11,62.918
2008,1990 = 100,Berlin,code11,66.378
2009,1990 = 100,Berlin,code11,64.748
2010,1990 = 100,Berlin,code11,70.661
2011,1990 = 100,Berlin,code11,62.239
2012,1990 = 100,Berlin,code11,62.6
2013,1990 = 100,Berlin,code11,65.027
2014,1990 = 100,Berlin,code11,61.474
2015,1990 = 100,Berlin,code11,59.246
2016,1990 = 100,Berlin,code11,60.437
2017,1990 = 100,Berlin,code11,59.511
2018,1990 = 100,Berlin,code11,54.91
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Brandenburg,code12,100.0
1995,1990 = 100,Brandenburg,code12,67.042
2000,1990 = 100,Brandenburg,code12,78.487
2003,1990 = 100,Brandenburg,code12,75.038
2004,1990 = 100,Brandenburg,code12,75.98
2005,1990 = 100,Brandenburg,code12,77.112
2006,1990 = 100,Brandenburg,code12,74.823
2007,1990 = 100,Brandenburg,code12,74.682
2008,1990 = 100,Brandenburg,code12,73.028
2009,1990 = 100,Brandenburg,code12,68.5
2010,1990 = 100,Brandenburg,code12,71.125
2011,1990 = 100,Brandenburg,code12,71.74
2012,1990 = 100,Brandenburg,code12,72.733
2013,1990 = 100,Brandenburg,code12,72.48
2014,1990 = 100,Brandenburg,code12,71.175
2015,1990 = 100,Brandenburg,code12,71.035
2016,1990 = 100,Brandenburg,code12,71.298
2017,1990 = 100,Brandenburg,code12,70.592
2018,1990 = 100,Brandenburg,code12,71.577
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Bremen,code04,100.0
1995,1990 = 100,Bremen,code04,98.125
2000,1990 = 100,Bremen,code04,102.727
2003,1990 = 100,Bremen,code04,106.237
2004,1990 = 100,Bremen,code04,94.75
2005,1990 = 100,Bremen,code04,88.929
2006,1990 = 100,Bremen,code04,92.431
2007,1990 = 100,Bremen,code04,99.126
2008,1990 = 100,Bremen,code04,95.004
2009,1990 = 100,Bremen,code04,91.769
2010,1990 = 100,Bremen,code04,101.522
2011,1990 = 100,Bremen,code04,95.243
2012,1990 = 100,Bremen,code04,96.723
2013,1990 = 100,Bremen,code04,97.019
2014,1990 = 100,Bremen,code04,92.777
2015,1990 = 100,Bremen,code04,95.941
2016,1990 = 100,Bremen,code04,93.629
2017,1990 = 100,Bremen,code04,97.223
2018,1990 = 100,Bremen,code04,90.712
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Hamburg,code02,100.0
1995,1990 = 100,Hamburg,code02,104.054
2003,1990 = 100,Hamburg,code02,96.96
2004,1990 = 100,Hamburg,code02,96.521
2005,1990 = 100,Hamburg,code02,93.224
2006,1990 = 100,Hamburg,code02,91.931
2007,1990 = 100,Hamburg,code02,88.656
2008,1990 = 100,Hamburg,code02,90.025
2009,1990 = 100,Hamburg,code02,90.486
2010,1990 = 100,Hamburg,code02,93.413
2011,1990 = 100,Hamburg,code02,88.323
2012,1990 = 100,Hamburg,code02,87.136
2013,1990 = 100,Hamburg,code02,85.503
2014,1990 = 100,Hamburg,code02,93.489
2015,1990 = 100,Hamburg,code02,116.252
2016,1990 = 100,Hamburg,code02,120.517
2017,1990 = 100,Hamburg,code02,123.799
2018,1990 = 100,Hamburg,code02,128.103
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Hesse,code06,100.0
1995,1990 = 100,Hesse,code06,107.122
2000,1990 = 100,Hesse,code06,99.696
2003,1990 = 100,Hesse,code06,97.081
2004,1990 = 100,Hesse,code06,95.162
2005,1990 = 100,Hesse,code06,93.011
2006,1990 = 100,Hesse,code06,91.124
2007,1990 = 100,Hesse,code06,85.968
2008,1990 = 100,Hesse,code06,86.713
2009,1990 = 100,Hesse,code06,83.498
2010,1990 = 100,Hesse,code06,84.915
2011,1990 = 100,Hesse,code06,81.218
2012,1990 = 100,Hesse,code06,81.293
2013,1990 = 100,Hesse,code06,80.667
2014,1990 = 100,Hesse,code06,75.548
2015,1990 = 100,Hesse,code06,78.846
2016,1990 = 100,Hesse,code06,81.54
2017,1990 = 100,Hesse,code06,79.645
2018,1990 = 100,Hesse,code06,75.771
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Mecklenburg Western Pomerania,code13,100.0
1995,1990 = 100,Mecklenburg Western Pomerania,code13,76.367
2000,1990 = 100,Mecklenburg Western Pomerania,code13,77.699
2003,1990 = 100,Mecklenburg Western Pomerania,code13,75.231
2004,1990 = 100,Mecklenburg Western Pomerania,code13,76.558
2005,1990 = 100,Mecklenburg Western Pomerania,code13,73.273
2006,1990 = 100,Mecklenburg Western Pomerania,code13,75.799
2007,1990 = 100,Mecklenburg Western Pomerania,code13,70.534
2008,1990 = 100,Mecklenburg Western Pomerania,code13,73.504
2009,1990 = 100,Mecklenburg Western Pomerania,code13,65.712
2010,1990 = 100,Mecklenburg Western Pomerania,code13,71.692
2011,1990 = 100,Mecklenburg Western Pomerania,code13,68.873
2012,1990 = 100,Mecklenburg Western Pomerania,code13,71.51
2013,1990 = 100,Mecklenburg Western Pomerania,code13,70.107
2014,1990 = 100,Mecklenburg Western Pomerania,code13,71.319
2015,1990 = 100,Mecklenburg Western Pomerania,code13,70.028
2016,1990 = 100,Mecklenburg Western Pomerania,code13,71.448
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Lower Saxony,code03,100.0
2000,1990 = 100,Lower Saxony,code03,95.517
2004,1990 = 100,Lower Saxony,code03,90.753
2006,1990 = 100,Lower Saxony,code03,90.734
2008,1990 = 100,Lower Saxony,code03,89.388
2009,1990 = 100,Lower Saxony,code03,86.241
2010,1990 = 100,Lower Saxony,code03,87.877
2011,1990 = 100,Lower Saxony,code03,86.75
2012,1990 = 100,Lower Saxony,code03,84.588
2013,1990 = 100,Lower Saxony,code03,85.368
2014,1990 = 100,Lower Saxony,code03,86.798
2015,1990 = 100,Lower Saxony,code03,86.475
2016,1990 = 100,Lower Saxony,code03,86.04
2017,1990 = 100,Lower Saxony,code03,84.418
2018,1990 = 100,Lower Saxony,code03,82.853
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,North Rhine-Westphalia,code05,100.0
1995,1990 = 100,North Rhine-Westphalia,code05,101.409
2000,1990 = 100,North Rhine-Westphalia,code05,94.72
2003,1990 = 100,North Rhine-Westphalia,code05,94.32
2004,1990 = 100,North Rhine-Westphalia,code05,93.288
2005,1990 = 100,North Rhine-Westphalia,code05,90.126
2006,1990 = 100,North Rhine-Westphalia,code05,90.673
2007,1990 = 100,North Rhine-Westphalia,code05,91.964
2008,1990 = 100,North Rhine-Westphalia,code05,90.986
2009,1990 = 100,North Rhine-Westphalia,code05,82.366
2010,1990 = 100,North Rhine-Westphalia,code05,86.005
2011,1990 = 100,North Rhine-Westphalia,code05,82.917
2012,1990 = 100,North Rhine-Westphalia,code05,84.351
2013,1990 = 100,North Rhine-Westphalia,code05,83.068
2014,1990 = 100,North Rhine-Westphalia,code05,81.253
2015,1990 = 100,North Rhine-Westphalia,code05,79.827
2016,1990 = 100,North Rhine-Westphalia,code05,79.875
2017,1990 = 100,North Rhine-Westphalia,code05,75.336
2018,1990 = 100,North Rhine-Westphalia,code05,73.509
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Rhineland Palatinate,code07,100.0
1995,1990 = 100,Rhineland Palatinate,code07,110.246
2000,1990 = 100,Rhineland Palatinate,code07,74.815
2003,1990 = 100,Rhineland Palatinate,code07,69.787
2004,1990 = 100,Rhineland Palatinate,code07,70.209
2005,1990 = 100,Rhineland Palatinate,code07,68.817
2006,1990 = 100,Rhineland Palatinate,code07,69.656
2007,1990 = 100,Rhineland Palatinate,code07,70.026
2008,1990 = 100,Rhineland Palatinate,code07,72.248
2009,1990 = 100,Rhineland Palatinate,code07,70.612
2010,1990 = 100,Rhineland Palatinate,code07,67.039
2011,1990 = 100,Rhineland Palatinate,code07,62.487
2012,1990 = 100,Rhineland Palatinate,code07,62.689
2013,1990 = 100,Rhineland Palatinate,code07,65.184
2014,1990 = 100,Rhineland Palatinate,code07,61.236
2015,1990 = 100,Rhineland Palatinate,code07,62.126
2016,1990 = 100,Rhineland Palatinate,code07,62.742
2017,1990 = 100,Rhineland Palatinate,code07,63.357
2018,1990 = 100,Rhineland Palatinate,code07,61.657
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Saxony,code14,100.0
1995,1990 = 100,Saxony,code14,67.618
2000,1990 = 100,Saxony,code14,47.396
2003,1990 = 100,Saxony,code14,54.974
2004,1990 = 100,Saxony,code14,53.8
2005,1990 = 100,Saxony,code14,52.535
2006,1990 = 100,Saxony,code14,53.455
2007,1990 = 100,Saxony,code14,51.733
2008,1990 = 100,Saxony,code14,50.916
2009,1990 = 100,Saxony,code14,51.589
2010,1990 = 100,Saxony,code14,51.686
2011,1990 = 100,Saxony,code14,49.404
2012,1990 = 100,Saxony,code14,51.399
2013,1990 = 100,Saxony,code14,53.966
2014,1990 = 100,Saxony,code14,53.785
2015,1990 = 100,Saxony,code14,52.08
2016,1990 = 100,Saxony,code14,52.343
2017,1990 = 100,Saxony,code14,53.969
2018,1990 = 100,Saxony,code14,53.51
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Saxony-Anhalt,code15,100.0
1995,1990 = 100,Saxony-Anhalt,code15,56.955
2000,1990 = 100,Saxony-Anhalt,code15,58.862
2003,1990 = 100,Saxony-Anhalt,code15,63.912
2004,1990 = 100,Saxony-Anhalt,code15,63.209
2005,1990 = 100,Saxony-Anhalt,code15,63.243
2006,1990 = 100,Saxony-Anhalt,code15,62.898
2007,1990 = 100,Saxony-Anhalt,code15,61.53
2008,1990 = 100,Saxony-Anhalt,code15,63.126
2009,1990 = 100,Saxony-Anhalt,code15,65.681
2010,1990 = 100,Saxony-Anhalt,code15,64.018
2011,1990 = 100,Saxony-Anhalt,code15,63.684
2012,1990 = 100,Saxony-Anhalt,code15,64.479
2013,1990 = 100,Saxony-Anhalt,code15,63.54
2014,1990 = 100,Saxony-Anhalt,code15,60.415
2015,1990 = 100,Saxony-Anhalt,code15,59.136
2016,1990 = 100,Saxony-Anhalt,code15,51.684
2017,1990 = 100,Saxony-Anhalt,code15,51.427
2018,1990 = 100,Saxony-Anhalt,code15,53.571
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Schleswig-Holstein,code01,100.0
1995,1990 = 100,Schleswig-Holstein,code01,95.88
2000,1990 = 100,Schleswig-Holstein,code01,90.497
2003,1990 = 100,Schleswig-Holstein,code01,89.295
2004,1990 = 100,Schleswig-Holstein,code01,85.649
2005,1990 = 100,Schleswig-Holstein,code01,83.318
2006,1990 = 100,Schleswig-Holstein,code01,83.278
2007,1990 = 100,Schleswig-Holstein,code01,76.551
2008,1990 = 100,Schleswig-Holstein,code01,81.836
2009,1990 = 100,Schleswig-Holstein,code01,79.401
2010,1990 = 100,Schleswig-Holstein,code01,81.1
2011,1990 = 100,Schleswig-Holstein,code01,76.803
2012,1990 = 100,Schleswig-Holstein,code01,78.347
2013,1990 = 100,Schleswig-Holstein,code01,78.819
2014,1990 = 100,Schleswig-Holstein,code01,75.636
2015,1990 = 100,Schleswig-Holstein,code01,74.883
2016,1990 = 100,Schleswig-Holstein,code01,74.93
2017,1990 = 100,Schleswig-Holstein,code01,75.906
2018,1990 = 100,Schleswig-Holstein,code01,76.317
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Thuringia,code16,100.0
1995,1990 = 100,Thuringia,code16,54.65
2000,1990 = 100,Thuringia,code16,49.748
2003,1990 = 100,Thuringia,code16,47.888
2004,1990 = 100,Thuringia,code16,47.416
2005,1990 = 100,Thuringia,code16,45.899
2006,1990 = 100,Thuringia,code16,44.816
2007,1990 = 100,Thuringia,code16,42.087
2008,1990 = 100,Thuringia,code16,43.278
2009,1990 = 100,Thuringia,code16,42.0
2010,1990 = 100,Thuringia,code16,42.406
2011,1990 = 100,Thuringia,code16,40.251
2012,1990 = 100,Thuringia,code16,41.134
2013,1990 = 100,Thuringia,code16,41.532
2014,1990 = 100,Thuringia,code16,39.755
2015,1990 = 100,Thuringia,code16,39.898
2016,1990 = 100,Thuringia,code16,40.776
2017,1990 = 100,Thuringia,code16,40.958
2018,1990 = 100,Thuringia,code16,40.92
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
