Year,Units,Series,Value
2008,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",21.2
2009,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",24.0
2010,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",25.9
2011,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",28.0
2012,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",30.0
2013,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",32.6
2014,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",34.8
2015,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",36.9
2016,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",38.8
2017,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",40.4
2018,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",42.1
2019,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",43.5
2020,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",43.7
2021,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",46.2
2030,Percentage,"XXX<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben",
2008,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,
2009,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,6.8
2010,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,7.0
2011,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,7.4
2012,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,7.7
2013,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,8.2
2014,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,8.6
2015,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,8.8
2016,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,9.1
2017,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,9.3
2018,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,9.5
2019,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,9.6
2020,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,9.6
2021,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,10.0
2030,Percentage,XXXMännliche Bezieher an allen genommenen Elterngeldmonaten,
