Year,Units,title,sex,area,Value
2010,percentage (%),a) materially deprived persons,,eu,17.8
2011,percentage (%),a) materially deprived persons,,eu,18.5
2012,percentage (%),a) materially deprived persons,,eu,19.8
2013,percentage (%),a) materially deprived persons,,eu,19.5
2014,percentage (%),a) materially deprived persons,,eu,19.7
2015,percentage (%),a) materially deprived persons,,eu,17.5
2016,percentage (%),a) materially deprived persons,,eu,16.0
2017,percentage (%),a) materially deprived persons,,eu,14.0
2018,percentage (%),a) materially deprived persons,,eu,13.1
2019,percentage (%),a) materially deprived persons,,eu,12.4
2020,percentage (%),a) materially deprived persons,,eu,12.6
2010,percentage (%),a) materially deprived persons,female,eu,18.4
2011,percentage (%),a) materially deprived persons,female,eu,19.1
2012,percentage (%),a) materially deprived persons,female,eu,20.3
2013,percentage (%),a) materially deprived persons,female,eu,20.1
2014,percentage (%),a) materially deprived persons,female,eu,20.5
2015,percentage (%),a) materially deprived persons,female,eu,18.3
2016,percentage (%),a) materially deprived persons,female,eu,16.9
2017,percentage (%),a) materially deprived persons,female,eu,14.9
2018,percentage (%),a) materially deprived persons,female,eu,13.9
2019,percentage (%),a) materially deprived persons,female,eu,13.2
2020,percentage (%),a) materially deprived persons,female,eu,13.3
2010,percentage (%),a) materially deprived persons,male,eu,17.2
2011,percentage (%),a) materially deprived persons,male,eu,17.8
2012,percentage (%),a) materially deprived persons,male,eu,19.1
2013,percentage (%),a) materially deprived persons,male,eu,18.9
2014,percentage (%),a) materially deprived persons,male,eu,18.8
2015,percentage (%),a) materially deprived persons,male,eu,16.5
2016,percentage (%),a) materially deprived persons,male,eu,15.1
2017,percentage (%),a) materially deprived persons,male,eu,13.2
2018,percentage (%),a) materially deprived persons,male,eu,12.1
2019,percentage (%),a) materially deprived persons,male,eu,11.5
2020,percentage (%),a) materially deprived persons,male,eu,12.0
2010,percentage (%),a) materially deprived persons,,germany,11.1
2011,percentage (%),a) materially deprived persons,,germany,12.4
2012,percentage (%),a) materially deprived persons,,germany,11.3
2013,percentage (%),a) materially deprived persons,,germany,11.6
