Year,Units,display,title,Value
2005,2005 = 100,a) time series,final energy consumption for the carriage of goods,100.0
2006,2005 = 100,a) time series,final energy consumption for the carriage of goods,105.3
2007,2005 = 100,a) time series,final energy consumption for the carriage of goods,108.5
2008,2005 = 100,a) time series,final energy consumption for the carriage of goods,106.8
2009,2005 = 100,a) time series,final energy consumption for the carriage of goods,97.0
2010,2005 = 100,a) time series,final energy consumption for the carriage of goods,100.8
2011,2005 = 100,a) time series,final energy consumption for the carriage of goods,102.3
2012,2005 = 100,a) time series,final energy consumption for the carriage of goods,100.2
2013,2005 = 100,a) time series,final energy consumption for the carriage of goods,101.1
2014,2005 = 100,a) time series,final energy consumption for the carriage of goods,101.5
2015,2005 = 100,a) time series,final energy consumption for the carriage of goods,102.6
2016,2005 = 100,a) time series,final energy consumption for the carriage of goods,103.3
2017,2005 = 100,a) time series,final energy consumption for the carriage of goods,104.3
2018,2005 = 100,a) time series,final energy consumption for the carriage of goods,104.7
2019,2005 = 100,a) time series,final energy consumption for the carriage of goods,105.1
2030,2005 = 100,b) target (max),final energy consumption for the carriage of goods,85.0
2005,2005 = 100,a) time series,goods transport performance,100.0
2006,2005 = 100,a) time series,goods transport performance,107.5
2007,2005 = 100,a) time series,goods transport performance,112.2
2008,2005 = 100,a) time series,goods transport performance,112.9
2009,2005 = 100,a) time series,goods transport performance,100.5
2010,2005 = 100,a) time series,goods transport performance,108.2
2011,2005 = 100,a) time series,goods transport performance,108.3
2012,2005 = 100,a) time series,goods transport performance,106.5
2013,2005 = 100,a) time series,goods transport performance,109.2
2014,2005 = 100,a) time series,goods transport performance,111.1
2015,2005 = 100,a) time series,goods transport performance,113.7
2016,2005 = 100,a) time series,goods transport performance,116.6
2017,2005 = 100,a) time series,goods transport performance,119.4
2018,2005 = 100,a) time series,goods transport performance,120.1
2019,2005 = 100,a) time series,goods transport performance,121.2
2005,2005 = 100,a) time series,final energy consumption per tonne-kilometre,100.0
2006,2005 = 100,a) time series,final energy consumption per tonne-kilometre,98.0
2007,2005 = 100,a) time series,final energy consumption per tonne-kilometre,96.7
2008,2005 = 100,a) time series,final energy consumption per tonne-kilometre,94.6
2009,2005 = 100,a) time series,final energy consumption per tonne-kilometre,96.5
2010,2005 = 100,a) time series,final energy consumption per tonne-kilometre,93.2
2011,2005 = 100,a) time series,final energy consumption per tonne-kilometre,94.5
2012,2005 = 100,a) time series,final energy consumption per tonne-kilometre,94.1
2013,2005 = 100,a) time series,final energy consumption per tonne-kilometre,92.5
2014,2005 = 100,a) time series,final energy consumption per tonne-kilometre,91.4
2015,2005 = 100,a) time series,final energy consumption per tonne-kilometre,90.3
2016,2005 = 100,a) time series,final energy consumption per tonne-kilometre,88.6
2017,2005 = 100,a) time series,final energy consumption per tonne-kilometre,87.3
2018,2005 = 100,a) time series,final energy consumption per tonne-kilometre,87.2
2019,2005 = 100,a) time series,final energy consumption per tonne-kilometre,86.8
