Year,Units,display,Bundesland,GeoCode,Value
1995,percentage (%),a) time series,a) germany (total),,21.0
1996,percentage (%),a) time series,a) germany (total),,21.0
1997,percentage (%),a) time series,a) germany (total),,21.0
1998,percentage (%),a) time series,a) germany (total),,22.0
1999,percentage (%),a) time series,a) germany (total),,19.0
2000,percentage (%),a) time series,a) germany (total),,21.0
2001,percentage (%),a) time series,a) germany (total),,21.0
2002,percentage (%),a) time series,a) germany (total),,22.0
2003,percentage (%),a) time series,a) germany (total),,23.0
2004,percentage (%),a) time series,a) germany (total),,23.0
2005,percentage (%),a) time series,a) germany (total),,22.0
2006,percentage (%),a) time series,a) germany (total),,23.0
2007,percentage (%),a) time series,a) germany (total),,23.0
2008,percentage (%),a) time series,a) germany (total),,23.0
2009,percentage (%),a) time series,a) germany (total),,23.0
2010,percentage (%),a) time series,a) germany (total),,22.0
2011,percentage (%),a) time series,a) germany (total),,22.0
2012,percentage (%),a) time series,a) germany (total),,23.0
2013,percentage (%),a) time series,a) germany (total),,22.0
2014,percentage (%),a) time series,a) germany (total),,22.0
2015,percentage (%),a) time series,a) germany (total),,22.0
2016,percentage (%),a) time series,a) germany (total),,21.0
2017,percentage (%),a) time series,a) germany (total),,20.0
2018,percentage (%),a) time series,a) germany (total),,20.0
2019,percentage (%),a) time series,a) germany (total),,19.0
2020,percentage (%),a) time series,a) germany (total),,18.0
2020,percentage (%),b) target (max),a) germany (total),,10.0
2030,percentage (%),b) target (max),a) germany (total),,10.0
2006,percentage (%),a) time series,bw,code08,28.0
2007,percentage (%),a) time series,bw,code08,28.0
2008,percentage (%),a) time series,bw,code08,28.0
2009,percentage (%),a) time series,bw,code08,27.0
2010,percentage (%),a) time series,bw,code08,27.0
2011,percentage (%),a) time series,bw,code08,27.0
2012,percentage (%),a) time series,bw,code08,27.0
2013,percentage (%),a) time series,bw,code08,27.0
2014,percentage (%),a) time series,bw,code08,27.0
2015,percentage (%),a) time series,bw,code08,26.0
2016,percentage (%),a) time series,bw,code08,26.0
2017,percentage (%),a) time series,bw,code08,25.0
2018,percentage (%),a) time series,bw,code08,24.0
2019,percentage (%),a) time series,bw,code08,23.0
2020,percentage (%),a) time series,bw,code08,23.0
2006,percentage (%),a) time series,by,code09,23.0
2007,percentage (%),a) time series,by,code09,24.0
2008,percentage (%),a) time series,by,code09,25.0
2009,percentage (%),a) time series,by,code09,25.0
2010,percentage (%),a) time series,by,code09,26.0
2011,percentage (%),a) time series,by,code09,25.0
2012,percentage (%),a) time series,by,code09,25.0
2013,percentage (%),a) time series,by,code09,25.0
2014,percentage (%),a) time series,by,code09,25.0
2015,percentage (%),a) time series,by,code09,24.0
2016,percentage (%),a) time series,by,code09,24.0
2017,percentage (%),a) time series,by,code09,24.0
2018,percentage (%),a) time series,by,code09,24.0
2019,percentage (%),a) time series,by,code09,23.0
2020,percentage (%),a) time series,by,code09,22.0
2006,percentage (%),a) time series,be,code11,14.0
2007,percentage (%),a) time series,be,code11,14.0
2008,percentage (%),a) time series,be,code11,16.0
2009,percentage (%),a) time series,be,code11,15.0
2010,percentage (%),a) time series,be,code11,14.0
2011,percentage (%),a) time series,be,code11,15.0
2012,percentage (%),a) time series,be,code11,15.0
2013,percentage (%),a) time series,be,code11,14.0
2014,percentage (%),a) time series,be,code11,14.0
2015,percentage (%),a) time series,be,code11,14.0
2016,percentage (%),a) time series,be,code11,12.0
2017,percentage (%),a) time series,be,code11,10.0
2018,percentage (%),a) time series,be,code11,10.0
2019,percentage (%),a) time series,be,code11,10.0
2020,percentage (%),a) time series,be,code11,10.0
2006,percentage (%),a) time series,bb,code12,6.0
2007,percentage (%),a) time series,bb,code12,7.0
2008,percentage (%),a) time series,bb,code12,7.0
2009,percentage (%),a) time series,bb,code12,7.0
2010,percentage (%),a) time series,bb,code12,7.0
2011,percentage (%),a) time series,bb,code12,6.0
2012,percentage (%),a) time series,bb,code12,7.0
2013,percentage (%),a) time series,bb,code12,5.0
2014,percentage (%),a) time series,bb,code12,7.0
2015,percentage (%),a) time series,bb,code12,5.0
2016,percentage (%),a) time series,bb,code12,6.0
2017,percentage (%),a) time series,bb,code12,6.0
2018,percentage (%),a) time series,bb,code12,6.0
2019,percentage (%),a) time series,bb,code12,7.0
2020,percentage (%),a) time series,bb,code12,6.0
2006,percentage (%),a) time series,hb,code04,25.0
2007,percentage (%),a) time series,hb,code04,27.0
2008,percentage (%),a) time series,hb,code04,27.0
2009,percentage (%),a) time series,hb,code04,24.0
2010,percentage (%),a) time series,hb,code04,24.0
2011,percentage (%),a) time series,hb,code04,24.0
2012,percentage (%),a) time series,hb,code04,27.0
2013,percentage (%),a) time series,hb,code04,25.0
2014,percentage (%),a) time series,hb,code04,25.0
2015,percentage (%),a) time series,hb,code04,25.0
2016,percentage (%),a) time series,hb,code04,24.0
2017,percentage (%),a) time series,hb,code04,24.0
2018,percentage (%),a) time series,hb,code04,23.0
2019,percentage (%),a) time series,hb,code04,25.0
2020,percentage (%),a) time series,hb,code04,22.0
2006,percentage (%),a) time series,hh,code02,20.0
2007,percentage (%),a) time series,hh,code02,22.0
2008,percentage (%),a) time series,hh,code02,22.0
2009,percentage (%),a) time series,hh,code02,23.0
2010,percentage (%),a) time series,hh,code02,23.0
2011,percentage (%),a) time series,hh,code02,22.0
2012,percentage (%),a) time series,hh,code02,24.0
2013,percentage (%),a) time series,hh,code02,23.0
2014,percentage (%),a) time series,hh,code02,22.0
2015,percentage (%),a) time series,hh,code02,22.0
2016,percentage (%),a) time series,hh,code02,21.0
2017,percentage (%),a) time series,hh,code02,21.0
2018,percentage (%),a) time series,hh,code02,21.0
2019,percentage (%),a) time series,hh,code02,21.0
2020,percentage (%),a) time series,hh,code02,21.0
2006,percentage (%),a) time series,he,code06,23.0
2007,percentage (%),a) time series,he,code06,24.0
2008,percentage (%),a) time series,he,code06,24.0
2009,percentage (%),a) time series,he,code06,24.0
2010,percentage (%),a) time series,he,code06,25.0
2011,percentage (%),a) time series,he,code06,25.0
2012,percentage (%),a) time series,he,code06,24.0
2013,percentage (%),a) time series,he,code06,23.0
2014,percentage (%),a) time series,he,code06,24.0
2015,percentage (%),a) time series,he,code06,23.0
2016,percentage (%),a) time series,he,code06,22.0
2017,percentage (%),a) time series,he,code06,22.0
2018,percentage (%),a) time series,he,code06,21.0
2019,percentage (%),a) time series,he,code06,19.0
2020,percentage (%),a) time series,he,code06,18.0
2006,percentage (%),a) time series,mv,code13,2.0
2007,percentage (%),a) time series,mv,code13,2.0
2008,percentage (%),a) time series,mv,code13,3.0
2009,percentage (%),a) time series,mv,code13,3.0
2010,percentage (%),a) time series,mv,code13,4.0
2011,percentage (%),a) time series,mv,code13,6.0
2012,percentage (%),a) time series,mv,code13,7.0
2013,percentage (%),a) time series,mv,code13,6.0
2014,percentage (%),a) time series,mv,code13,8.0
2015,percentage (%),a) time series,mv,code13,7.0
2016,percentage (%),a) time series,mv,code13,6.0
2017,percentage (%),a) time series,mv,code13,6.0
2018,percentage (%),a) time series,mv,code13,6.0
2019,percentage (%),a) time series,mv,code13,6.0
2020,percentage (%),a) time series,mv,code13,6.0
2006,percentage (%),a) time series,ni,code03,25.0
2007,percentage (%),a) time series,ni,code03,24.0
2008,percentage (%),a) time series,ni,code03,23.0
2009,percentage (%),a) time series,ni,code03,22.0
2010,percentage (%),a) time series,ni,code03,22.0
2011,percentage (%),a) time series,ni,code03,22.0
2012,percentage (%),a) time series,ni,code03,21.0
2013,percentage (%),a) time series,ni,code03,20.0
2014,percentage (%),a) time series,ni,code03,22.0
2015,percentage (%),a) time series,ni,code03,22.0
2016,percentage (%),a) time series,ni,code03,21.0
2017,percentage (%),a) time series,ni,code03,21.0
2018,percentage (%),a) time series,ni,code03,21.0
2019,percentage (%),a) time series,ni,code03,21.0
2020,percentage (%),a) time series,ni,code03,19.0
2006,percentage (%),a) time series,nw,code05,24.0
2007,percentage (%),a) time series,nw,code05,24.0
2008,percentage (%),a) time series,nw,code05,24.0
2009,percentage (%),a) time series,nw,code05,23.0
2010,percentage (%),a) time series,nw,code05,23.0
2011,percentage (%),a) time series,nw,code05,23.0
2012,percentage (%),a) time series,nw,code05,24.0
2013,percentage (%),a) time series,nw,code05,23.0
2014,percentage (%),a) time series,nw,code05,23.0
2015,percentage (%),a) time series,nw,code05,23.0
2016,percentage (%),a) time series,nw,code05,22.0
2017,percentage (%),a) time series,nw,code05,21.0
2018,percentage (%),a) time series,nw,code05,20.0
2019,percentage (%),a) time series,nw,code05,19.0
2020,percentage (%),a) time series,nw,code05,18.0
2006,percentage (%),a) time series,rp,code07,21.0
2007,percentage (%),a) time series,rp,code07,22.0
2008,percentage (%),a) time series,rp,code07,22.0
2009,percentage (%),a) time series,rp,code07,22.0
2010,percentage (%),a) time series,rp,code07,22.0
2011,percentage (%),a) time series,rp,code07,22.0
2012,percentage (%),a) time series,rp,code07,22.0
2013,percentage (%),a) time series,rp,code07,22.0
2014,percentage (%),a) time series,rp,code07,21.0
2015,percentage (%),a) time series,rp,code07,20.0
2016,percentage (%),a) time series,rp,code07,20.0
2017,percentage (%),a) time series,rp,code07,19.0
2018,percentage (%),a) time series,rp,code07,18.0
2019,percentage (%),a) time series,rp,code07,17.0
2020,percentage (%),a) time series,rp,code07,15.0
2006,percentage (%),a) time series,sl,code10,24.0
2007,percentage (%),a) time series,sl,code10,26.0
2008,percentage (%),a) time series,sl,code10,26.0
2009,percentage (%),a) time series,sl,code10,25.0
2010,percentage (%),a) time series,sl,code10,25.0
2011,percentage (%),a) time series,sl,code10,25.0
2012,percentage (%),a) time series,sl,code10,25.0
2013,percentage (%),a) time series,sl,code10,24.0
2014,percentage (%),a) time series,sl,code10,23.0
2015,percentage (%),a) time series,sl,code10,24.0
2016,percentage (%),a) time series,sl,code10,24.0
2017,percentage (%),a) time series,sl,code10,24.0
2018,percentage (%),a) time series,sl,code10,23.0
2019,percentage (%),a) time series,sl,code10,22.0
2020,percentage (%),a) time series,sl,code10,20.0
2006,percentage (%),a) time series,sn,code14,9.0
2007,percentage (%),a) time series,sn,code14,9.0
2008,percentage (%),a) time series,sn,code14,9.0
2009,percentage (%),a) time series,sn,code14,9.0
2010,percentage (%),a) time series,sn,code14,9.0
2011,percentage (%),a) time series,sn,code14,10.0
2012,percentage (%),a) time series,sn,code14,11.0
2013,percentage (%),a) time series,sn,code14,11.0
2014,percentage (%),a) time series,sn,code14,11.0
2015,percentage (%),a) time series,sn,code14,11.0
2016,percentage (%),a) time series,sn,code14,10.0
2017,percentage (%),a) time series,sn,code14,9.0
2018,percentage (%),a) time series,sn,code14,8.0
2019,percentage (%),a) time series,sn,code14,7.0
2020,percentage (%),a) time series,sn,code14,7.0
2006,percentage (%),a) time series,st,code15,3.0
2007,percentage (%),a) time series,st,code15,3.0
2008,percentage (%),a) time series,st,code15,3.0
2009,percentage (%),a) time series,st,code15,3.0
2010,percentage (%),a) time series,st,code15,4.0
2011,percentage (%),a) time series,st,code15,5.0
2012,percentage (%),a) time series,st,code15,5.0
2013,percentage (%),a) time series,st,code15,4.0
2014,percentage (%),a) time series,st,code15,5.0
2015,percentage (%),a) time series,st,code15,4.0
2016,percentage (%),a) time series,st,code15,4.0
2017,percentage (%),a) time series,st,code15,6.0
2018,percentage (%),a) time series,st,code15,8.0
2019,percentage (%),a) time series,st,code15,7.0
2020,percentage (%),a) time series,st,code15,8.0
2006,percentage (%),a) time series,sh,code01,18.0
2007,percentage (%),a) time series,sh,code01,18.0
2008,percentage (%),a) time series,sh,code01,19.0
2009,percentage (%),a) time series,sh,code01,18.0
2010,percentage (%),a) time series,sh,code01,18.0
2011,percentage (%),a) time series,sh,code01,17.0
2012,percentage (%),a) time series,sh,code01,18.0
2013,percentage (%),a) time series,sh,code01,18.0
2014,percentage (%),a) time series,sh,code01,17.0
2015,percentage (%),a) time series,sh,code01,16.0
2016,percentage (%),a) time series,sh,code01,16.0
2017,percentage (%),a) time series,sh,code01,14.0
2018,percentage (%),a) time series,sh,code01,14.0
2019,percentage (%),a) time series,sh,code01,13.0
2020,percentage (%),a) time series,sh,code01,13.0
2006,percentage (%),a) time series,th,code16,6.0
2007,percentage (%),a) time series,th,code16,5.0
2008,percentage (%),a) time series,th,code16,5.0
2009,percentage (%),a) time series,th,code16,6.0
2010,percentage (%),a) time series,th,code16,6.0
2011,percentage (%),a) time series,th,code16,7.0
2012,percentage (%),a) time series,th,code16,8.0
2013,percentage (%),a) time series,th,code16,9.0
2014,percentage (%),a) time series,th,code16,8.0
2015,percentage (%),a) time series,th,code16,9.0
2016,percentage (%),a) time series,th,code16,7.0
2017,percentage (%),a) time series,th,code16,6.0
2018,percentage (%),a) time series,th,code16,6.0
2019,percentage (%),a) time series,th,code16,6.0
2020,percentage (%),a) time series,th,code16,5.0
