Year,Units,display,Value
2000,percentage (%),a) time series,79.0
2001,percentage (%),a) time series,77.1
2002,percentage (%),a) time series,76.4
2003,percentage (%),a) time series,72.3
2004,percentage (%),a) time series,74.7
2005,percentage (%),a) time series,76.9
2006,percentage (%),a) time series,75.4
2007,percentage (%),a) time series,74.7
2008,percentage (%),a) time series,71.7
2009,percentage (%),a) time series,72.4
2010,percentage (%),a) time series,73.2
2011,percentage (%),a) time series,68.3
2012,percentage (%),a) time series,69.5
2013,percentage (%),a) time series,70.3
2014,percentage (%),a) time series,69.0
2015,percentage (%),a) time series,68.0
2030,percentage (%),b) target (max),50.0
