Year,Units,display,title,Value
2005,2005 = 100,a) time series,passenger transport performance,100.0
2006,2005 = 100,a) time series,passenger transport performance,101.2
2007,2005 = 100,a) time series,passenger transport performance,101.5
2008,2005 = 100,a) time series,passenger transport performance,102.4
2009,2005 = 100,a) time series,passenger transport performance,102.3
2010,2005 = 100,a) time series,passenger transport performance,102.8
2011,2005 = 100,a) time series,passenger transport performance,103.5
2012,2005 = 100,a) time series,passenger transport performance,104.0
2013,2005 = 100,a) time series,passenger transport performance,104.2
2014,2005 = 100,a) time series,passenger transport performance,104.2
2015,2005 = 100,a) time series,passenger transport performance,104.9
2016,2005 = 100,a) time series,passenger transport performance,105.9
2017,2005 = 100,a) time series,passenger transport performance,106.4
2018,2005 = 100,a) time series,passenger transport performance,106.5
2019,2005 = 100,a) time series,passenger transport performance,106.8
2005,2005 = 100,a) time series,final energy consumption per passenger-kilometre,100.0
2006,2005 = 100,a) time series,final energy consumption per passenger-kilometre,98.1
2007,2005 = 100,a) time series,final energy consumption per passenger-kilometre,97.9
2008,2005 = 100,a) time series,final energy consumption per passenger-kilometre,96.0
2009,2005 = 100,a) time series,final energy consumption per passenger-kilometre,97.1
2010,2005 = 100,a) time series,final energy consumption per passenger-kilometre,96.4
2011,2005 = 100,a) time series,final energy consumption per passenger-kilometre,96.5
2012,2005 = 100,a) time series,final energy consumption per passenger-kilometre,95.3
2013,2005 = 100,a) time series,final energy consumption per passenger-kilometre,95.1
2014,2005 = 100,a) time series,final energy consumption per passenger-kilometre,96.0
2015,2005 = 100,a) time series,final energy consumption per passenger-kilometre,94.6
2016,2005 = 100,a) time series,final energy consumption per passenger-kilometre,94.5
2017,2005 = 100,a) time series,final energy consumption per passenger-kilometre,94.4
2018,2005 = 100,a) time series,final energy consumption per passenger-kilometre,93.9
2019,2005 = 100,a) time series,final energy consumption per passenger-kilometre,94.1
2005,2005 = 100,a) time series,final energy consumption in passenger transport,100.0
2006,2005 = 100,a) time series,final energy consumption in passenger transport,99.3
2007,2005 = 100,a) time series,final energy consumption in passenger transport,99.4
2008,2005 = 100,a) time series,final energy consumption in passenger transport,98.3
2009,2005 = 100,a) time series,final energy consumption in passenger transport,99.4
2010,2005 = 100,a) time series,final energy consumption in passenger transport,99.2
2011,2005 = 100,a) time series,final energy consumption in passenger transport,99.9
2012,2005 = 100,a) time series,final energy consumption in passenger transport,99.1
2013,2005 = 100,a) time series,final energy consumption in passenger transport,99.1
2014,2005 = 100,a) time series,final energy consumption in passenger transport,99.9
2015,2005 = 100,a) time series,final energy consumption in passenger transport,99.2
2016,2005 = 100,a) time series,final energy consumption in passenger transport,100.1
2017,2005 = 100,a) time series,final energy consumption in passenger transport,100.4
2018,2005 = 100,a) time series,final energy consumption in passenger transport,100.1
2019,2005 = 100,a) time series,final energy consumption in passenger transport,100.5
2030,2005 = 100,b) target (max),final energy consumption in passenger transport,85.0
