Year,Units,display,title,Bundesland,GeoCode,Value
2005,number,a) time series,a) total,,,140519
2006,number,a) time series,a) total,,,141289
2007,number,a) time series,a) total,,,136087
2008,number,a) time series,a) total,,,140832
2009,number,a) time series,a) total,,,147152
2010,number,a) time series,a) total,,,153690
2011,number,a) time series,a) total,,,158557
2012,number,a) time series,a) total,,,170618
2013,number,a) time series,a) total,,,185787
2014,number,a) time series,a) total,,,200349
2015,number,a) time series,a) total,,,215258
2016,number,a) time series,a) total,,,230688
2017,number,a) time series,a) total,,,247435
2018,number,a) time series,a) total,,,267250
2019,number,a) time series,a) total,,,285450
2020,number,b) target (max),a) total,,,237000
2006,number,a) time series,a) total,bw,code08,20133
2007,number,a) time series,a) total,bw,code08,19383
2008,number,a) time series,a) total,bw,code08,19840
2009,number,a) time series,a) total,bw,code08,20914
2010,number,a) time series,a) total,bw,code08,21886
2011,number,a) time series,a) total,bw,code08,21857
2012,number,a) time series,a) total,bw,code08,24175
2013,number,a) time series,a) total,bw,code08,26218
2014,number,a) time series,a) total,bw,code08,28199
2015,number,a) time series,a) total,bw,code08,30019
2016,number,a) time series,a) total,bw,code08,32126
2017,number,a) time series,a) total,bw,code08,32564
2018,number,a) time series,a) total,bw,code08,32221
2019,number,a) time series,a) total,bw,code08,31591
2006,number,a) time series,a) total,by,code09,13978
2007,number,a) time series,a) total,by,code09,13633
2008,number,a) time series,a) total,by,code09,14130
2009,number,a) time series,a) total,by,code09,14747
2010,number,a) time series,a) total,by,code09,15618
2011,number,a) time series,a) total,by,code09,16297
2012,number,a) time series,a) total,by,code09,17742
2013,number,a) time series,a) total,by,code09,20459
2014,number,a) time series,a) total,by,code09,22184
2015,number,a) time series,a) total,by,code09,24310
2016,number,a) time series,a) total,by,code09,26347
2017,number,a) time series,a) total,by,code09,30357
2018,number,a) time series,a) total,by,code09,34357
2019,number,a) time series,a) total,by,code09,37939
2006,number,a) time series,a) total,be,code11,9715
2007,number,a) time series,a) total,be,code11,10005
2008,number,a) time series,a) total,be,code11,10531
2009,number,a) time series,a) total,be,code11,10914
2010,number,a) time series,a) total,be,code11,11647
2011,number,a) time series,a) total,be,code11,11931
2012,number,a) time series,a) total,be,code11,12536
2013,number,a) time series,a) total,be,code11,13498
2014,number,a) time series,a) total,be,code11,14509
2015,number,a) time series,a) total,be,code11,15767
2016,number,a) time series,a) total,be,code11,17179
2017,number,a) time series,a) total,be,code11,19899
2018,number,a) time series,a) total,be,code11,22086
2019,number,a) time series,a) total,be,code11,24341
2006,number,a) time series,a) total,bb,code12,2568
2007,number,a) time series,a) total,bb,code12,2630
2008,number,a) time series,a) total,bb,code12,2675
2009,number,a) time series,a) total,bb,code12,2808
2010,number,a) time series,a) total,bb,code12,2862
2011,number,a) time series,a) total,bb,code12,3045
2012,number,a) time series,a) total,bb,code12,3374
2013,number,a) time series,a) total,bb,code12,3522
2014,number,a) time series,a) total,bb,code12,3754
2015,number,a) time series,a) total,bb,code12,4022
2016,number,a) time series,a) total,bb,code12,4418
2017,number,a) time series,a) total,bb,code12,4947
2018,number,a) time series,a) total,bb,code12,5378
2019,number,a) time series,a) total,bb,code12,5905
2006,number,a) time series,a) total,hb,code04,3789
2007,number,a) time series,a) total,hb,code04,3644
2008,number,a) time series,a) total,hb,code04,3552
2009,number,a) time series,a) total,hb,code04,3467
2010,number,a) time series,a) total,hb,code04,3350
2011,number,a) time series,a) total,hb,code04,3378
2012,number,a) time series,a) total,hb,code04,3430
2013,number,a) time series,a) total,hb,code04,3583
2014,number,a) time series,a) total,hb,code04,3741
2015,number,a) time series,a) total,hb,code04,3855
2016,number,a) time series,a) total,hb,code04,4047
2017,number,a) time series,a) total,hb,code04,4533
2018,number,a) time series,a) total,hb,code04,4716
2019,number,a) time series,a) total,hb,code04,5144
2006,number,a) time series,a) total,hh,code02,5311
2007,number,a) time series,a) total,hh,code02,4970
2008,number,a) time series,a) total,hh,code02,5028
2009,number,a) time series,a) total,hh,code02,5202
