Year,Units,display,title,Value
1992,kg/ha,a) time series,b) calculated annual values,111.9
1993,kg/ha,a) time series,b) calculated annual values,106.3
1994,kg/ha,a) time series,b) calculated annual values,106.3
1995,kg/ha,a) time series,b) calculated annual values,113.2
1996,kg/ha,a) time series,b) calculated annual values,107.7
1997,kg/ha,a) time series,b) calculated annual values,104.0
1998,kg/ha,a) time series,b) calculated annual values,107.8
1999,kg/ha,a) time series,b) calculated annual values,111.0
2000,kg/ha,a) time series,b) calculated annual values,115.3
2001,kg/ha,a) time series,b) calculated annual values,101.7
2002,kg/ha,a) time series,b) calculated annual values,105.8
2003,kg/ha,a) time series,b) calculated annual values,105.4
2004,kg/ha,a) time series,b) calculated annual values,97.3
2005,kg/ha,a) time series,b) calculated annual values,102.4
2006,kg/ha,a) time series,b) calculated annual values,105.7
2007,kg/ha,a) time series,b) calculated annual values,100.4
2008,kg/ha,a) time series,b) calculated annual values,103.2
2009,kg/ha,a) time series,b) calculated annual values,83.7
2010,kg/ha,a) time series,b) calculated annual values,90.3
2011,kg/ha,a) time series,b) calculated annual values,106.2
2012,kg/ha,a) time series,b) calculated annual values,91.0
2013,kg/ha,a) time series,b) calculated annual values,93.6
2014,kg/ha,a) time series,b) calculated annual values,84.8
2015,kg/ha,a) time series,b) calculated annual values,102.1
2016,kg/ha,a) time series,b) calculated annual values,98.5
2017,kg/ha,a) time series,b) calculated annual values,90.0
2018,kg/ha,a) time series,b) calculated annual values,87.9
2019,kg/ha,a) time series,b) calculated annual values,78.7
2020,kg/ha,a) time series,b) calculated annual values,79.7
1992,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",116.6
1993,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",111.0
1994,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",109.1
1995,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",107.5
1996,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",107.8
1997,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",108.7
1998,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",109.1
1999,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",107.9
2000,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",108.3
2001,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",107.8
2002,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",105.1
2003,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",102.5
2004,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",103.3
2005,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",102.2
2006,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",101.8
2007,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",99.1
2008,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",96.6
2009,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",96.8
2010,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",94.9
2011,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",93.0
2012,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",93.2
2013,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",95.6
2014,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",94.0
2015,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",93.8
2016,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",92.7
2017,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",91.5
2018,kg/ha,a) time series,"a) moving five-year average, referring to the middle year",87.0
2030,kg/ha,b) target (max),"a) moving five-year average, referring to the middle year",70.0
