Year,Units,dimension,sex,age,Value
2003-2006,percentage (%),a) overweight,,a) 3- to 10-year-olds,7.7
2014-2017,percentage (%),a) overweight,,a) 3- to 10-year-olds,8.4
2003-2006,percentage (%),a) overweight,female,a) 3- to 10-year-olds,7.6
2014-2017,percentage (%),a) overweight,female,a) 3- to 10-year-olds,9.0
2003-2006,percentage (%),a) overweight,male,a) 3- to 10-year-olds,7.9
2014-2017,percentage (%),a) overweight,male,a) 3- to 10-year-olds,7.8
2003-2006,percentage (%),b) obese,,a) 3- to 10-year-olds,5.2
2014-2017,percentage (%),b) obese,,a) 3- to 10-year-olds,3.9
2003-2006,percentage (%),b) obese,female,a) 3- to 10-year-olds,5.2
2014-2017,percentage (%),b) obese,female,a) 3- to 10-year-olds,3.9
2003-2006,percentage (%),b) obese,male,a) 3- to 10-year-olds,5.2
2014-2017,percentage (%),b) obese,male,a) 3- to 10-year-olds,3.9
2003-2006,percentage (%),c) total,,a) 3- to 10-year-olds,12.9
2014-2017,percentage (%),c) total,,a) 3- to 10-year-olds,12.3
2003-2006,percentage (%),c) total,female,a) 3- to 10-year-olds,12.8
2014-2017,percentage (%),c) total,female,a) 3- to 10-year-olds,12.9
2003-2006,percentage (%),c) total,male,a) 3- to 10-year-olds,13.1
2014-2017,percentage (%),c) total,male,a) 3- to 10-year-olds,11.7
2003-2006,percentage (%),a) overweight,,b) 11- to 17-year-olds,9.8
2014-2017,percentage (%),a) overweight,,b) 11- to 17-year-olds,10.7
2003-2006,percentage (%),a) overweight,female,b) 11- to 17-year-olds,9.7
2014-2017,percentage (%),a) overweight,female,b) 11- to 17-year-olds,10.6
2003-2006,percentage (%),a) overweight,male,b) 11- to 17-year-olds,10.0
2014-2017,percentage (%),a) overweight,male,b) 11- to 17-year-olds,10.9
2003-2006,percentage (%),b) obese,,b) 11- to 17-year-olds,8.3
2014-2017,percentage (%),b) obese,,b) 11- to 17-year-olds,8.0
2003-2006,percentage (%),b) obese,female,b) 11- to 17-year-olds,8.2
2014-2017,percentage (%),b) obese,female,b) 11- to 17-year-olds,7.2
2003-2006,percentage (%),b) obese,male,b) 11- to 17-year-olds,8.4
2014-2017,percentage (%),b) obese,male,b) 11- to 17-year-olds,8.7
2003-2006,percentage (%),c) total,,b) 11- to 17-year-olds,18.1
2014-2017,percentage (%),c) total,,b) 11- to 17-year-olds,18.7
2003-2006,percentage (%),c) total,female,b) 11- to 17-year-olds,17.9
2014-2017,percentage (%),c) total,female,b) 11- to 17-year-olds,17.8
2003-2006,percentage (%),c) total,male,b) 11- to 17-year-olds,18.4
2014-2017,percentage (%),c) total,male,b) 11- to 17-year-olds,19.6
