Year,Units,display,sex,age,Bundesland,GeoCode,Value
2000,percentage (%),a) time series,male and female,20 - 64 years,,,68.7
2001,percentage (%),a) time series,male and female,20 - 64 years,,,69.1
2002,percentage (%),a) time series,male and female,20 - 64 years,,,68.8
2003,percentage (%),a) time series,male and female,20 - 64 years,,,68.4
2004,percentage (%),a) time series,male and female,20 - 64 years,,,67.9
2005,percentage (%),a) time series,male and female,20 - 64 years,,,69.4
2006,percentage (%),a) time series,male and female,20 - 64 years,,,71.1
2007,percentage (%),a) time series,male and female,20 - 64 years,,,72.9
2008,percentage (%),a) time series,male and female,20 - 64 years,,,74.0
2009,percentage (%),a) time series,male and female,20 - 64 years,,,74.2
2010,percentage (%),a) time series,male and female,20 - 64 years,,,75.0
2011,percentage (%),a) time series,male and female,20 - 64 years,,,76.5
2012,percentage (%),a) time series,male and female,20 - 64 years,,,76.9
2013,percentage (%),a) time series,male and female,20 - 64 years,,,77.3
2014,percentage (%),a) time series,male and female,20 - 64 years,,,77.7
2015,percentage (%),a) time series,male and female,20 - 64 years,,,78.0
2016,percentage (%),a) time series,male and female,20 - 64 years,,,78.6
2017,percentage (%),a) time series,male and female,20 - 64 years,,,79.2
2030,percentage (%),b) target (min),male and female,20 - 64 years,,,78.0
2010,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,76.1
2011,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,77.0
2012,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,77.0
2013,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,77.9
2014,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,77.9
2015,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,78.8
2016,percentage (%),a) time series,male and female,20 - 64 years,bb,code12,80.3
2010,percentage (%),a) time series,male and female,20 - 64 years,be,code11,69.3
2011,percentage (%),a) time series,male and female,20 - 64 years,be,code11,70.6
2012,percentage (%),a) time series,male and female,20 - 64 years,be,code11,71.7
2013,percentage (%),a) time series,male and female,20 - 64 years,be,code11,72.0
2014,percentage (%),a) time series,male and female,20 - 64 years,be,code11,72.4
2015,percentage (%),a) time series,male and female,20 - 64 years,be,code11,72.5
2016,percentage (%),a) time series,male and female,20 - 64 years,be,code11,75.2
2010,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,78.2
2011,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,79.9
2012,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,80.1
2013,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,80.7
2014,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,80.9
2015,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,81.3
2016,percentage (%),a) time series,male and female,20 - 64 years,bw,code08,81.8
2010,percentage (%),a) time series,male and female,20 - 64 years,by,code09,78.2
2011,percentage (%),a) time series,male and female,20 - 64 years,by,code09,79.6
2012,percentage (%),a) time series,male and female,20 - 64 years,by,code09,80.2
2013,percentage (%),a) time series,male and female,20 - 64 years,by,code09,80.7
2014,percentage (%),a) time series,male and female,20 - 64 years,by,code09,81.2
2015,percentage (%),a) time series,male and female,20 - 64 years,by,code09,81.3
2016,percentage (%),a) time series,male and female,20 - 64 years,by,code09,81.8
2010,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,70.0
2011,percentage (%),a) time series,male and female,20 - 64 years,hb,code04,70.8
