Year,Units,display,title,Bundesland,GeoCode,Value
1996,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,8.7
1997,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,20.2
1998,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,20.6
1999,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,20.6
2000,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,20.8
2001,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,29.0
2002,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,21.1
2003,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,34.0
2004,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,45.7
2005,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,57.0
2006,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,51.8
2007,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,32.6
2008,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,38.6
2009,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,32.1
2010,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,23.3
2011,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,27.1
2012,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,18.5
2013,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,23.1
2014,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,17.9
2015,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,11.6
2017,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,14.9
2018,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,10.0
2019,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,10.0
2020,ha/d,a) time series,"sports, leisure and recreation area, graveyard",,,12.0
1996,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,87.2
1997,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,83.4
1998,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,86.8
1999,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,86.8
2000,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,86.9
2001,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,69.9
2002,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,65.8
2003,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,44.9
2004,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,60.1
2005,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,34.6
2006,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,29.6
2007,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,39.7
2008,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,35.0
2009,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,27.9
2010,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,33.2
2011,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,29.6
2012,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,40.0
2013,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,29.0
2014,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,21.9
2015,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,39.6
2017,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,31.8
2018,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,32.0
2019,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,33.0
2020,ha/d,a) time series,"living space, industrial and commercial space (without mining land), public facilities",,,40.0
1996,ha/d,a) time series,transport area,,,23.6
1997,ha/d,a) time series,transport area,,,20.6
1998,ha/d,a) time series,transport area,,,23.3
1999,ha/d,a) time series,transport area,,,23.3
2000,ha/d,a) time series,transport area,,,23.6
2001,ha/d,a) time series,transport area,,,23.0
2002,ha/d,a) time series,transport area,,,22.5
2003,ha/d,a) time series,transport area,,,20.3
2004,ha/d,a) time series,transport area,,,24.6
2005,ha/d,a) time series,transport area,,,25.2
2006,ha/d,a) time series,transport area,,,24.1
2007,ha/d,a) time series,transport area,,,24.4
2008,ha/d,a) time series,transport area,,,21.5
2009,ha/d,a) time series,transport area,,,18.1
2010,ha/d,a) time series,transport area,,,20.5
2011,ha/d,a) time series,transport area,,,17.0
2012,ha/d,a) time series,transport area,,,10.9
2013,ha/d,a) time series,transport area,,,18.5
