Year,Units,display,title,Value
2015,percentage (%),a) time series,economy,21.3
2016,percentage (%),a) time series,economy,23.8
2017,percentage (%),a) time series,economy,28.1
2018,percentage (%),a) time series,economy,30.9
2019,percentage (%),a) time series,economy,33.9
2020,percentage (%),a) time series,economy,35.2
2030,percentage (%),b) target (min),economy,30.0
1999,percentage (%),a) time series,civil service,19.3
2000,percentage (%),a) time series,civil service,19.5
2001,percentage (%),a) time series,civil service,18.5
2002,percentage (%),a) time series,civil service,19.7
2003,percentage (%),a) time series,civil service,24.0
2004,percentage (%),a) time series,civil service,24.0
2005,percentage (%),a) time series,civil service,26.6
2006,percentage (%),a) time series,civil service,26.9
2007,percentage (%),a) time series,civil service,27.8
2008,percentage (%),a) time series,civil service,28.7
2009,percentage (%),a) time series,civil service,29.9
2010,percentage (%),a) time series,civil service,30.8
2011,percentage (%),a) time series,civil service,30.6
2012,percentage (%),a) time series,civil service,30.6
2013,percentage (%),a) time series,civil service,30.6
2014,percentage (%),a) time series,civil service,32.1
2015,percentage (%),a) time series,civil service,33.6
2017,percentage (%),a) time series,civil service,35.2
2019,percentage (%),a) time series,civil service,37.6
2030,percentage (%),b) target (min),civil service,50.0
