Year,Units,display,Value
1990,percentage (%),a) time series,18.4
1991,percentage (%),a) time series,17.7
1992,percentage (%),a) time series,19.7
1993,percentage (%),a) time series,20.9
1994,percentage (%),a) time series,24.0
1995,percentage (%),a) time series,23.8
1996,percentage (%),a) time series,22.0
1997,percentage (%),a) time series,23.8
1998,percentage (%),a) time series,20.1
1999,percentage (%),a) time series,27.9
2000,percentage (%),a) time series,28.8
2001,percentage (%),a) time series,29.5
2002,percentage (%),a) time series,27.1
2003,percentage (%),a) time series,31.4
2004,percentage (%),a) time series,32.3
2005,percentage (%),a) time series,30.8
2006,percentage (%),a) time series,34.3
2007,percentage (%),a) time series,31.5
2008,percentage (%),a) time series,33.2
2009,percentage (%),a) time series,33.6
2010,percentage (%),a) time series,32.1
2011,percentage (%),a) time series,38.2
2012,percentage (%),a) time series,35.7
2013,percentage (%),a) time series,36.1
2014,percentage (%),a) time series,34.8
2015,percentage (%),a) time series,30.6
2016,percentage (%),a) time series,37.1
2017,percentage (%),a) time series,35.5
2018,percentage (%),a) time series,44.1
2030,percentage (%),b) target (min),100.0
