Year,Units,display,title,Value
2002,percentage (%),a) time series,imports of processed products from ldcs,0.36
2003,percentage (%),a) time series,imports of processed products from ldcs,0.49
2004,percentage (%),a) time series,imports of processed products from ldcs,0.49
2005,percentage (%),a) time series,imports of processed products from ldcs,0.4
2006,percentage (%),a) time series,imports of processed products from ldcs,0.45
2007,percentage (%),a) time series,imports of processed products from ldcs,0.45
2008,percentage (%),a) time series,imports of processed products from ldcs,0.36
2009,percentage (%),a) time series,imports of processed products from ldcs,0.52
2010,percentage (%),a) time series,imports of processed products from ldcs,0.47
2011,percentage (%),a) time series,imports of processed products from ldcs,0.54
2012,percentage (%),a) time series,imports of processed products from ldcs,0.54
2013,percentage (%),a) time series,imports of processed products from ldcs,0.62
2014,percentage (%),a) time series,imports of processed products from ldcs,0.66
2015,percentage (%),a) time series,imports of processed products from ldcs,0.76
2016,percentage (%),a) time series,imports of processed products from ldcs,0.82
2017,percentage (%),a) time series,imports of processed products from ldcs,0.88
2018,percentage (%),a) time series,imports of processed products from ldcs,0.89
2019,percentage (%),a) time series,imports of processed products from ldcs,0.89
2020,percentage (%),a) time series,imports of processed products from ldcs,0.92
2021,percentage (%),a) time series,imports of processed products from ldcs,0.91
2002,percentage (%),a) time series,imports from ldcs,0.44
2003,percentage (%),a) time series,imports from ldcs,0.52
2004,percentage (%),a) time series,imports from ldcs,0.52
2005,percentage (%),a) time series,imports from ldcs,0.44
2006,percentage (%),a) time series,imports from ldcs,0.49
2007,percentage (%),a) time series,imports from ldcs,0.52
2008,percentage (%),a) time series,imports from ldcs,0.46
2009,percentage (%),a) time series,imports from ldcs,0.58
2010,percentage (%),a) time series,imports from ldcs,0.53
2011,percentage (%),a) time series,imports from ldcs,0.67
2012,percentage (%),a) time series,imports from ldcs,0.62
2013,percentage (%),a) time series,imports from ldcs,0.71
2014,percentage (%),a) time series,imports from ldcs,0.71
2015,percentage (%),a) time series,imports from ldcs,0.81
2016,percentage (%),a) time series,imports from ldcs,0.88
2017,percentage (%),a) time series,imports from ldcs,0.94
2018,percentage (%),a) time series,imports from ldcs,0.94
2019,percentage (%),a) time series,imports from ldcs,0.94
2020,percentage (%),a) time series,imports from ldcs,0.98
2021,percentage (%),a) time series,imports from ldcs,1.03
2030,percentage (%),b) target (min),imports from ldcs,1.43
